,Unnamed: 0,Source URL,Title,Long Volume,Issue Vol.,Issue No.,Month,Year,Abstract,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,scraped
256,256,https://www.jstor.org/stable/2950918,Fiscal Aspects of Monetary Integration,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Rudi Dornbusch,,,,,,,,0
257,257,https://www.jstor.org/stable/2950919,The Common Unresolved Problem with the EMS and EMU,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Dominick Salvatore,,,,,,,,0
258,258,https://www.jstor.org/stable/2950920,EMU as a Device for Collective Fiscal Retrenchment,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Ronald I. McKinnon,,,,,,,,0
259,259,https://www.jstor.org/stable/2950921,Is There a Core of Usable Macroeconomics We Should All Believe In?,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Robert M. Solow,,,,,,,,0
260,260,https://www.jstor.org/stable/2950922,A Core of Practical Macroeconomics,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,John B. Taylor,,,,,,,,0
261,261,https://www.jstor.org/stable/2950923,Some Thoughts on Practical Stabilization Policy,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Martin Eichenbaum,,,,,,,,0
262,262,https://www.jstor.org/stable/2950924,Is There a Core of Practical Macroeconomics That We Should all Believe?,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Alan S. Blinder,,,,,,,,0
263,263,https://www.jstor.org/stable/2950925,Is There a Core of Usable Macroeconomics?,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Olivier Blanchard,,,,,,,,0
264,264,https://www.jstor.org/stable/2950926,National Voluntary Content Standards for Pre-College Economics Education,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,John J. Siegfried,Bonnie T. Meszaros,,,,,,,0
265,265,https://www.jstor.org/stable/2950927,"An Appraisal of Economics Content in the History, Social Studies, Civics, and Geography National Standards","Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Stephen Buckles,Michael Watts,,,,,,,0
266,266,https://www.jstor.org/stable/2950928,The Effect of National Standards and Curriculum-Based Exams on Achievement,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,John H. Bishop,,,,,,,,0
267,267,https://www.jstor.org/stable/2950929,Valuing Alternative-Fuel Vehicles in Southern California,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Camilla Kazimi,,,,,,,,0
268,268,https://www.jstor.org/stable/2950930,"Federal Housing Assistance, Residential Relocation, and Educational Opportunities: Evidence from Baltimore","Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Helen F. Ladd,Jens Ludwig,,,,,,,0
269,269,https://www.jstor.org/stable/2950931,A Vector-Autoregression Analysis of State-Government Expenditure,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Therese A. McCarty,Stephen J. Schmidt,,,,,,,0
270,270,https://www.jstor.org/stable/2950932,The Rise and Downward Trend of the Natural Rate,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Edmund S. Phelps,Gylfi Zoega,,,,,,,0
271,271,https://www.jstor.org/stable/2950933,The Rise and Persistence of Rigidities,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Gilles Saint-Paul,,,,,,,,0
272,272,https://www.jstor.org/stable/2950934,Unemployment and Nonemployment,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Kevin M. Murphy,Robert Topel,,,,,,,0
273,273,https://www.jstor.org/stable/2950935,Racial and Ethnic Inequality in the United States: A Secular Perspective,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,William Darity,Jr.,Jason Dietrich,David K. Guilkey,,,,,0
274,274,https://www.jstor.org/stable/2950936,The Racial Unemployment Gap in Long-Run Perspective,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Robert W. Fairlie,William A. Sundstrom,,,,,,,0
275,275,https://www.jstor.org/stable/2950937,Occupational Gains of Black Women Since the 1964 Civil Rights Act: Long- Term or Episodic?,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Augustin Kwasi Fosu,,,,,,,,0
276,276,https://www.jstor.org/stable/2950938,Recent Perspectives on African-Americans in Post-Industrial Labor Markets,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,James B. Stewart,,,,,,,,0
277,277,https://www.jstor.org/stable/2950939,Challenges of China's Economic System for Economic Theory,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Gregory C. Chow,,,,,,,,0
278,278,https://www.jstor.org/stable/2950940,"Income, Growth, and Economic Freedom","Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Stephen T. Easton,Michael A. Walker,,,,,,,0
279,279,https://www.jstor.org/stable/2950941,Trust in Large Organizations,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Rafael La Porta,Florencio Lopez-de-Silanes,Andrei Shleifer,Robert W. Vishny,,,,,0
280,280,https://www.jstor.org/stable/2950942,The Reform of the Welfare State and Public Opinion,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,János Kornai,,,,,,,,0
281,281,https://www.jstor.org/stable/2950943,Russian Dilemmas,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Axel Leijonhufvud,Christof Ruhl,,,,,,,0
282,282,https://www.jstor.org/stable/2950944,Policy Performance and Output Growth in the Transition Economies,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Marcelo Selowsky,Ricardo Martin,,,,,,,0
283,283,https://www.jstor.org/stable/2950945,The Invisible Hand and the Grabbing Hand,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Timothy Frye,Andrei Shleifer,,,,,,,0
284,284,https://www.jstor.org/stable/2950946,Intrinsic Motivation and Extrinsic Incentives,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,David M. Kreps,,,,,,,,0
285,285,https://www.jstor.org/stable/2950947,Social Norms and the Law: An Economic Approach,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Richard A. Posner,,,,,,,,0
286,286,https://www.jstor.org/stable/2950948,Incentives and Social Norms in Household Behavior,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Assar Lindbeck,,,,,,,,0
287,287,https://www.jstor.org/stable/2950949,Power of Incentives in Private versus Public Organizations,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Avinash Dixit,,,,,,,,0
288,288,https://www.jstor.org/stable/2950950,Measuring Government Performance: Lessons from a Federal Job-Training Program,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Pascal Courty,Gerald Marschke,,,,,,,0
289,289,https://www.jstor.org/stable/2950951,Assessing the Performance of Performance Standards in Public Bureaucracies,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,James Heckman,Carolyn Heinrich,Jeffrey Smith,,,,,,0
290,290,https://www.jstor.org/stable/2950952,"Exploring the ""Present Through the Past"": Career and Family Across the Last Century","Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Claudia Goldin,,,,,,,,0
291,291,https://www.jstor.org/stable/2950953,Cliometrics After 40 Years,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Avner Greif,,,,,,,,0
292,292,https://www.jstor.org/stable/2950954,The Value of Quantitative Evidence on the Effect of the Past on the Present,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,James J. Heckman,,,,,,,,0
293,293,https://www.jstor.org/stable/2950955,Notes on Cliometrics' Fortieth,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,John R. Meyer,,,,,,,,0
294,294,https://www.jstor.org/stable/2950956,Cliometrics--40 Years Later,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Douglass C. North,,,,,,,,0
295,295,https://www.jstor.org/stable/2950957,Vertical Integration as a Self-Enforcing Contractual Arrangement,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Benjamin Klein,Kevin M. Murphy,,,,,,,0
296,296,https://www.jstor.org/stable/2950958,"Deregulation, the Evolution of Corporate Governance Structure, and Survival","Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Stacey Kole,Kenneth Lehn,,,,,,,0
297,297,https://www.jstor.org/stable/2950959,The Firm in Economic Theory: A Quiet Revolution,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Harold Demsetz,,,,,,,,0
298,298,https://www.jstor.org/stable/2950960,Fisher's Introductory Text,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,James Tobin,,,,,,,,0
299,299,https://www.jstor.org/stable/2950961,One Little Piece of Irving Fisher,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Robert M. Solow,,,,,,,,0
300,300,https://www.jstor.org/stable/2950962,Irving Fisher's Self-Stabilizing Money,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Robert E. Hall,,,,,,,,0
301,301,https://www.jstor.org/stable/2950963,Irving Fisher: Modern Behavioral Economist,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Richard H. Thaler,,,,,,,,0
302,302,https://www.jstor.org/stable/2950964,Irving Fisher and Modern Macroeconomics,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Robert W. Dim,,,,,,,,0
303,303,https://www.jstor.org/stable/2950965,Irving Fisher (1867-1947) in Retrospect,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,William J. Barber,,,,,,,,0
304,304,https://www.jstor.org/stable/2950966,The Effect of Insurance Coverage on Breast Cancer Patients' Treatment and Hospital Choices,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Jean M. Mitchell,Jack Hadley,,,,,,,0
305,305,https://www.jstor.org/stable/2950967,Women and Substance Use: Are Women Less Susceptible to Addiction?,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Rosalie Liccardo Pacula,,,,,,,,0
306,306,https://www.jstor.org/stable/2950968,The Allocation of Resources in Intergenerational Households: Adult Children and Their Elderly Parents,"Vol. 87, No. 2, May, 1997",Vol. 87,No. 2,May,1997,,Liliana E. Pezzin,Barbara Steinberg Schone,,,,,,,0
307,307,https://www.jstor.org/stable/2950851,Trade Policy and Economic Development: How We Learn,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Anne O. Krueger,,,,,,,,0
308,308,https://www.jstor.org/stable/2950852,The Macroeconomic Effects of War Finance in the United States: World War II and the Korean War,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Lee E. Ohanian,,,,,,,,0
309,309,https://www.jstor.org/stable/2950853,True Measures of GDP and Convergence,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Steve Dowrick,John Quiggin,,,,,,,0
310,310,https://www.jstor.org/stable/2950854,Replicating Ricardian Equivalence Tests with Simulated Series,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Emanuela Cardia,,,,,,,,0
311,311,https://www.jstor.org/stable/2950855,Measuring the Liquidity Effect,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,James D. Hamilton,,,,,,,,0
312,312,https://www.jstor.org/stable/2950856,"Optimal Inflation Targets, ""Conservative"" Central Banks, and Linear Inflation Contracts","Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Lars E. O. Svensson,,,,,,,,0
313,313,https://www.jstor.org/stable/2950857,Aggregate Employment Dynamics: Building from Microeconomic Evidence,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Ricardo J. Caballero,Eduardo M. R. A. Engel,John Haltiwanger,,,,,,0
314,314,https://www.jstor.org/stable/2950858,Capital-Account Liberalization as a Signal,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Leonardo Bartolini,Allan Drazen,,,,,,,0
315,315,https://www.jstor.org/stable/2950859,Excess Volatility and Closed-End Funds,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Jeffrey Pontiff,,,,,,,,0
316,316,https://www.jstor.org/stable/2950860,The International Diversification Puzzle Is Worse Than You Think,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Marianne Baxter,Urban J. Jermann,,,,,,,0
317,317,https://www.jstor.org/stable/2950861,An Asset Allocation Puzzle,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Niko Canner,N. Gregory Mankiw,David N. Weil,,,,,,0
318,318,https://www.jstor.org/stable/2950862,The Consumption Smoothing Benefits of Unemployment Insurance,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Jonathan Gruber,,,,,,,,0
319,319,https://www.jstor.org/stable/2950863,Welfare-Improving Health Expenditure Subsidies,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,William Jack,Louise Sheiner,,,,,,,0
320,320,https://www.jstor.org/stable/2950864,Disease Eradication: Private versus Public Vaccination,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Pierre-Yves Geoffard,Tomas Philipson,,,,,,,0
321,321,https://www.jstor.org/stable/2950865,A Solution to the Problem of Externalities when Agents are Well-Informed: Comment,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Steffen Ziss,,,,,,,,0
322,322,https://www.jstor.org/stable/2950866,Resolving Differences in Willingness to Pay and Willingness to Accept: Comment,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Gwendolyn C. Morrison,,,,,,,,0
323,323,https://www.jstor.org/stable/2950867,Resolving Differences in Willingness to Pay and Willingness to Accept: Reply,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Jason F. Shogren,Dermot J. Hayes,,,,,,,0
324,324,https://www.jstor.org/stable/2950868,Environmental Levies and Distortionary Taxation: Comment,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,Don Fullerton,,,,,,,,0
325,325,https://www.jstor.org/stable/2950869,Environmental Levies and Distortionary Taxation: Reply,"Vol. 87, No. 1, Mar., 1997",Vol. 87,No. 1,Mar.,1997,,A. Lans Bovenberg,Ruud A. de Mooij,,,,,,,0
326,326,https://www.jstor.org/stable/2118278,Why Is Capital So Immobile Internationally? Possible Explanations and Implications for Capital Income Taxation,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Roger H. Gordon,A. Lans Bovenberg,,,,,,,0
327,327,https://www.jstor.org/stable/2118279,Altered States: Taxes and the Location of Foreign Direct Investment in America,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,James R. Hines,Jr.,,,,,,,0
328,328,https://www.jstor.org/stable/2118280,State Infrastructure and Productive Performance,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Catherine J. Morrison,Amy Ellen Schwartz,,,,,,,0
329,329,https://www.jstor.org/stable/2118281,How Wide Is the Border?,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Charles Engel,John H. Rogers,,,,,,,0
330,330,https://www.jstor.org/stable/2118282,"The Payments System, Liquidity, and Rediscounting","Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Scott Freeman,,,,,,,,0
331,331,https://www.jstor.org/stable/2118283,"Central-Bank Independence, Economic Behavior, and Optimal Term Lengths","Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Christopher J. Waller,Carl E. Walsh,,,,,,,0
332,332,https://www.jstor.org/stable/2118284,Factor-Hoarding and the Propagation of Business-Cycle Shocks,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Craig Burnside,Martin Eichenbaum,,,,,,,0
333,333,https://www.jstor.org/stable/2118285,Staggering and Synchronization in Price-Setting: Evidence from Multiproduct Firms,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Saul Lach,Daniel Tsiddon,,,,,,,0
334,334,https://www.jstor.org/stable/2118286,Dynamic Capital Structure under Managerial Entrenchment,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Jeffrey Zwiebel,,,,,,,,0
335,335,https://www.jstor.org/stable/2118287,Comparing Apples to Oranges: Productivity Convergence and Measurement Across Industries and Countries,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Andrew B. Bernard,Charles I. Jones,,,,,,,0
336,336,https://www.jstor.org/stable/2118288,The Productivity Slowdown: The Culprit at Last? Follow-Up on Hulten and Wolff,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Edward N. Wolff,,,,,,,,0
337,337,https://www.jstor.org/stable/2118289,Industry Differences in the Persistence of Firm-Specific Returns,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Geoffrey F. Waring,,,,,,,,0
338,338,https://www.jstor.org/stable/2118290,"Localization Economies, Vertical Organization, and Trade","Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Gordon H. Hanson,,,,,,,,0
339,339,https://www.jstor.org/stable/2118291,Symmetric Tax Competition with Multiple Jurisdictions in Each Metropolitan Area,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Ralph M. Braid,,,,,,,,0
340,340,https://www.jstor.org/stable/2118292,The Uncertain Unit Root in Real GNP: Comment,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Francis X. Diebold,Abdelhak S. Senhadji,,,,,,,0
341,341,https://www.jstor.org/stable/2118293,The Deadweight Loss of Christmas: Comment,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Sara J. Solnick,David Hemenway,,,,,,,0
342,342,https://www.jstor.org/stable/2118294,The Deadweight Loss of Christmas: Reply,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Joel Waldfogel,,,,,,,,0
343,343,https://www.jstor.org/stable/2118295,The Impact of Global Warming of Agriculture: Comment,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,William R. Cline,,,,,,,,0
344,344,https://www.jstor.org/stable/2118296,The Impact of Global Warming on Agriculture: Reply,"Vol. 86, No. 5, Dec., 1996",Vol. 86,No. 5,Dec.,1996,,Robert Mendelsohn,William Nordhaus,,,,,,,0
345,345,https://www.jstor.org/stable/2118300,Monetary Policy as a Process of Search,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,Andrew Caplin,John Leahy,,,,,,,0
346,346,https://www.jstor.org/stable/2118301,Capital-Market Imperfections and Countercyclical Markups: Theory and Evidence,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,Judith A. Chevalier,David S. Scharfstein,,,,,,,0
347,347,https://www.jstor.org/stable/2118302,Arbitrage-Based Tests of Target-Zone Credibility: Evidence from ERM Cross- Rate Options,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,José Manuel Campa,P. H. Kevin Chang,,,,,,,0
348,348,https://www.jstor.org/stable/2118303,A Regional Dynamic General-Equilibrium Model of Alternative Climate-Change Strategies,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,William D. Nordhaus,Zili Yang,,,,,,,0
349,349,https://www.jstor.org/stable/2118304,The Evolution of Social Norms in Common Property Resource Use,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,Rajiv Sethi,E. Somanathan,,,,,,,0
350,350,https://www.jstor.org/stable/2118305,Effects of Air Quality Regulation,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,J. Vernon Henderson,,,,,,,,0
351,351,https://www.jstor.org/stable/2118306,How (Not) to Sell Nuclear Weapons,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,Philippe Jehiel,Benny Moldovanu,Ennio Stacchetti,,,,,,0
352,352,https://www.jstor.org/stable/2118307,Reciprocal Exchange: A Self-Sustaining System,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,Rachel E. Kranton,,,,,,,,0
353,353,https://www.jstor.org/stable/2118308,"Multinationals, Linkages, and Economic Development","Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,Andrés Rodríguez-Clare,,,,,,,,0
354,354,https://www.jstor.org/stable/2118309,Bequest Behavior and the Effect of Heirs' Earnings: Testing the Altruistic Model of Bequests,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,Mark O. Wilhelm,,,,,,,,0
355,355,https://www.jstor.org/stable/2118310,New Evidence on Altruism: A Study of TIAA-CREF Retirees,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,John Laitner,F. Thomas Juster,,,,,,,0
356,356,https://www.jstor.org/stable/2118311,Migration with Endogenous Moving Costs,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,William J. Carrington,Enrica Detragiache,Tara Vishwanath,,,,,,0
357,357,https://www.jstor.org/stable/2118312,Technical Change and Human-Capital Returns and Investments: Evidence from the Green Revolution,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,Andrew D. Foster,Mark R. Rosenzweig,,,,,,,0
358,358,https://www.jstor.org/stable/2118313,"The Price is Right, But are the Bids? An Investigation of Rational Decision Theory","Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,Jonathan B. Berk,Eric Hughson,Kirk V,ez,e,,,,0
359,359,https://www.jstor.org/stable/2118314,Household Responses to Pricing Garbage by the Bag,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,Don Fullerton,Thomas C. Kinnaman,,,,,,,0
360,360,https://www.jstor.org/stable/2118315,Optimal Environmental Taxation in the Presence of Other Taxes: General- Equilibrium Analyses,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,A. Lans Bovenberg,Lawrence H. Goulder,,,,,,,0
361,361,https://www.jstor.org/stable/2118316,Turning Points in the Civil War: Views from the Greenback Market,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,Kristen L. Willard,Timothy W. Guinnane,Harvey S. Rosen,,,,,,0
362,362,https://www.jstor.org/stable/2118317,A Signaling Explanation for Charity,"Vol. 86, No. 4, Sep., 1996",Vol. 86,No. 4,Sep.,1996,,Amihai Glazer,Kai A. Konrad,,,,,,,0
363,363,https://www.jstor.org/stable/2118200,Rat Race Redux: Adverse Selection in the Determination of Work Hours in Law Firms,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Renée M. Landers,James B. Rebitzer,Lowell J. Taylor,,,,,,0
364,364,https://www.jstor.org/stable/2118201,Veblen Effects in a Theory of Conspicuous Consumption,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Laurie Simon Bagwell,B. Douglas Bernheim,,,,,,,0
365,365,https://www.jstor.org/stable/2118202,"The Gender Gap, Fertility, and Growth","Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Oded Galor,David N. Weil,,,,,,,0
366,366,https://www.jstor.org/stable/2118203,The Timing and Incidence of Exploratory Drilling on Offshore Wildcat Tracts,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Kenneth Hendricks,Robert H. Porter,,,,,,,0
367,367,https://www.jstor.org/stable/2118204,The Swing Voter's Curse,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Timothy J. Feddersen,Wolfgang Pesendorfer,,,,,,,0
368,368,https://www.jstor.org/stable/2118205,"How Do Senators Vote? Disentangling the Role of Voter Preferences, Party Affiliation, and Senator Ideology","Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Steven D. Levitt,,,,,,,,0
369,369,https://www.jstor.org/stable/2118206,Revenue Effects and Information Processing in English Common Value Auctions,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Dan Levin,John H. Kagel,Jean-Francois Richard,,,,,,0
370,370,https://www.jstor.org/stable/2118207,Avoidable Cost: Ride a Double Auction Roller Coaster,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Mark V. Van Boening,Nathaniel T. Wilcox,,,,,,,0
371,371,https://www.jstor.org/stable/2118208,"Holdups, Standard Breach Remedies, and Optimal Investment","Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Aaron S. Edlin,Stefan Reichelstein,,,,,,,0
372,372,https://www.jstor.org/stable/2118209,Employee Buyout in a Bargaining Game with Asymmetric Information,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Avner Ben-Ner,Byoung Jun,,,,,,,0
373,373,https://www.jstor.org/stable/2118210,Aggregation Without Separability: A Generalized Composite Commodity Theorem,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Arthur Lewbel,,,,,,,,0
374,374,https://www.jstor.org/stable/2118211,"Voluntary Export Restraints, Antidumping Procedure, and Domestic Politics","Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,B. Peter Rosendorff,,,,,,,,0
375,375,https://www.jstor.org/stable/2118212,"Entry, Exit, Growth, and Innovation over the Product Life Cycle","Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Steven Klepper,,,,,,,,0
376,376,https://www.jstor.org/stable/2118213,"Heterogeneity, Stratification, and Growth: Macroeconomic Implications of Community Structure and School Finance","Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Rol,Bénabou,,,,,,,0
377,377,https://www.jstor.org/stable/2118214,Investment Lags,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Avner Bar-Ilan,William C. Strange,,,,,,,0
378,378,https://www.jstor.org/stable/2118215,On the Dixit-Stiglitz Model of Monopolistic Competition,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Claude d'Aspremont,Rodolphe Dos Santos Ferreira,Louis-André Gérard-Varet,,,,,,0
379,379,https://www.jstor.org/stable/2118216,R&D Spillovers and the Geography of Innovation and Production,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,David B. Audretsch,Maryann P. Feldman,,,,,,,0
380,380,https://www.jstor.org/stable/2118217,Company-Scientist Locational Links: The Case of Biotechnology,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,David B. Audretsch,Paula E. Stephan,,,,,,,0
381,381,https://www.jstor.org/stable/2118218,Social Distance and Other-Regarding Behavior in Dictator Games,"Vol. 86, No. 3, Jun., 1996",Vol. 86,No. 3,Jun.,1996,,Elizabeth Hoffman,Kevin McCabe,Vernon L. Smith,,,,,,0
